                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.98877,                0.78437,                 1.0795,                0.88765,                0.77679,                0.86766,                0.68625,                0.88701,                0.62184,                0.98102,             0.00010015,             0.00010015,             0.00010015
                     83,                0.99937,                0.77762,                 1.0816,                0.88882,                0.77203,                0.85775,                0.68378,                0.88507,                0.62033,                0.98633,             9.9915e-05,             9.9915e-05,             9.9915e-05
                     84,                 1.0132,                0.77122,                 1.0863,                0.88412,                0.77712,                0.86497,                0.68458,                0.86876,                0.62962,                0.97731,             9.9679e-05,             9.9679e-05,             9.9679e-05
                     85,                0.96101,                0.77814,                 1.0776,                0.88713,                0.78394,                0.85899,                0.67865,                0.88683,                 0.6285,                0.98411,             9.9444e-05,             9.9444e-05,             9.9444e-05
                     86,                0.99269,                0.76589,                 1.0891,                0.88516,                 0.7927,                0.87395,                 0.6802,                0.87317,                0.62274,                0.97387,             9.9208e-05,             9.9208e-05,             9.9208e-05
                     87,                0.94233,                 0.7577,                 1.0696,                0.87386,                0.78442,                0.85929,                0.67987,                0.87893,                0.61629,                0.97872,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     88,                0.97683,                0.77061,                 1.0856,                  0.885,                 0.7984,                0.87366,                0.68227,                0.86068,                 0.6027,                0.97092,             9.8737e-05,             9.8737e-05,             9.8737e-05
                     89,                0.98538,                0.75315,                 1.0618,                0.88225,                0.79633,                0.86565,                0.68835,                0.86639,                0.60373,                0.97329,             9.8501e-05,             9.8501e-05,             9.8501e-05
                     90,                 1.0102,                0.79216,                  1.082,                0.85255,                0.79828,                0.85115,                0.68395,                0.86671,                0.61439,                 0.9759,             9.8265e-05,             9.8265e-05,             9.8265e-05
                     91,                0.97243,                0.77978,                 1.0795,                 0.8879,                0.79341,                0.87247,                0.68507,                0.86702,                0.61713,                0.97203,              9.803e-05,              9.803e-05,              9.803e-05
                     92,                0.94414,                0.74329,                 1.0788,                0.92471,                0.76837,                0.86783,                0.69048,                0.84514,                0.60528,                0.96516,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     93,                0.93437,                0.73273,                 1.0845,                0.90177,                0.76845,                 0.8681,                0.69297,                0.85631,                0.60659,                 0.9665,             9.7559e-05,             9.7559e-05,             9.7559e-05
                     94,                0.95186,                0.74035,                 1.0579,                0.87472,                 0.8122,                0.87061,                0.68843,                0.85172,                0.59902,                0.96414,             9.7323e-05,             9.7323e-05,             9.7323e-05
