                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                 1.0986,                 1.0793,                 1.1818,                0.81177,                0.68324,                0.76368,                0.58773,                 1.0024,                 0.8316,                 1.0939,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     98,                 1.1331,                 1.1057,                 1.2023,                0.85611,                0.68087,                0.79359,                0.59871,                 1.0134,                0.82726,                  1.096,              9.638e-05,              9.638e-05,              9.638e-05
                     99,                 1.0513,                 1.0373,                 1.1651,                0.85541,                0.65661,                0.77806,                0.59044,                 1.0175,                0.84462,                 1.0986,             9.6145e-05,             9.6145e-05,             9.6145e-05
                    100,                 1.1586,                 1.1438,                 1.2019,                0.79929,                0.67692,                0.79112,                0.58904,                0.99623,                0.82759,                 1.0855,             9.5909e-05,             9.5909e-05,             9.5909e-05
                    101,                 1.1236,                 1.1217,                 1.1916,                 0.8106,                0.67768,                0.76573,                0.58193,                  1.018,                 0.8324,                 1.0934,             9.5674e-05,             9.5674e-05,             9.5674e-05
                    102,                 1.1185,                  1.077,                 1.1854,                0.76788,                0.71214,                0.76749,                0.58311,                 1.0038,                0.82303,                 1.0913,             9.5438e-05,             9.5438e-05,             9.5438e-05
                    103,                 1.0725,                 1.0783,                  1.161,                0.79701,                0.69415,                 0.7865,                0.59247,                 1.0027,                0.82659,                 1.0857,             9.5202e-05,             9.5202e-05,             9.5202e-05
                    104,                 1.0594,                 1.0732,                 1.1739,                0.84298,                0.66912,                0.79195,                 0.6038,                 1.0029,                0.80622,                 1.0872,             9.4967e-05,             9.4967e-05,             9.4967e-05
                    105,                 1.1001,                 1.0731,                 1.1775,                0.82882,                0.68787,                0.77616,                0.58615,                   1.01,                0.81666,                 1.0911,             9.4731e-05,             9.4731e-05,             9.4731e-05
                    106,                 1.0712,                 1.0476,                 1.1508,                0.85278,                0.66432,                0.77746,                0.60452,                0.98376,                0.81281,                 1.0808,             9.4496e-05,             9.4496e-05,             9.4496e-05
                    107,                 1.0898,                 1.0475,                 1.1763,                0.78964,                0.72636,                0.78884,                0.60552,                0.99683,                0.81107,                 1.0863,              9.426e-05,              9.426e-05,              9.426e-05
                    108,                  1.105,                 1.0781,                  1.169,                0.83518,                0.68126,                0.79322,                0.60104,                 0.9794,                0.78161,                 1.0764,             9.4024e-05,             9.4024e-05,             9.4024e-05
                    109,                 1.0479,                 1.0253,                 1.1672,                0.77716,                0.74776,                0.79029,                0.59247,                0.97792,                0.78893,                 1.0819,             9.3789e-05,             9.3789e-05,             9.3789e-05
                    110,                 1.1556,                 1.1004,                 1.2135,                 0.7594,                0.74111,                0.79613,                0.60756,                0.98035,                0.77588,                 1.0767,             9.3553e-05,             9.3553e-05,             9.3553e-05
                    111,                 1.0714,                 1.0763,                  1.166,                0.86457,                0.66293,                0.78557,                0.60608,                0.96242,                0.77568,                  1.069,             9.3317e-05,             9.3317e-05,             9.3317e-05
                    112,                 1.0945,                 1.0639,                 1.1785,                0.88331,                0.67095,                0.80449,                0.61334,                 0.9645,                0.78577,                 1.0698,             9.3082e-05,             9.3082e-05,             9.3082e-05
                    113,                 1.0443,                 0.9819,                 1.1432,                0.87526,                0.70956,                0.80837,                0.62004,                0.96927,                 0.7789,                 1.0741,             9.2846e-05,             9.2846e-05,             9.2846e-05
                    114,                 1.1046,                 1.0752,                 1.1892,                 0.8976,                0.66267,                0.78206,                0.60324,                0.98536,                0.79673,                 1.0753,             9.2611e-05,             9.2611e-05,             9.2611e-05
                    115,                 1.1132,                 1.0536,                 1.1898,                0.85213,                0.69356,                0.78351,                0.61625,                0.97224,                0.79013,                 1.0697,             9.2375e-05,             9.2375e-05,             9.2375e-05
                    116,                 1.0604,                 1.0185,                 1.1587,                  0.859,                0.70536,                0.81181,                0.61643,                0.96831,                0.76795,                 1.0633,             9.2139e-05,             9.2139e-05,             9.2139e-05
